ID,Uitkeringen,Perioden,SocialeUitkeringen_1
296,A045121,2021JJ00,25623
297,A045109,1995JJ00,3290
298,A045109,1996JJ00,3288
299,A045109,1997JJ00,3147
300,A045109,1998JJ00,8119
301,A045109,1999JJ00,8383
302,A045109,2000JJ00,8684
303,A045109,2001JJ00,9121
304,A045109,2002JJ00,9399
305,A045109,2003JJ00,9623
306,A045109,2004JJ00,9331
307,A045109,2005JJ00,8709
308,A045109,2006JJ00,7970
309,A045109,2007JJ00,7944
310,A045109,2008JJ00,7991
311,A045109,2009JJ00,7569
312,A045109,2010JJ00,7188
313,A045109,2011JJ00,6670
314,A045109,2012JJ00,6136
315,A045109,2013JJ00,5697
316,A045109,2014JJ00,5291
317,A045109,2015JJ00,4892
318,A045109,2016JJ00,4537
319,A045109,2017JJ00,4299
320,A045109,2018JJ00,4074
321,A045109,2019JJ00,3885
322,A045109,2020JJ00,3628
323,A045109,2021JJ00,3321
324,A045118,1995JJ00,7071
325,A045118,1996JJ00,9540
326,A045118,1997JJ00,10322
327,A045118,1998JJ00,10758
328,A045118,1999JJ00,11346
329,A045118,2000JJ00,12318
330,A045118,2001JJ00,13512
331,A045118,2002JJ00,15049
332,A045118,2003JJ00,16162
333,A045118,2004JJ00,16412
334,A045118,2005JJ00,16743
335,A045118,2006JJ00,0
336,A045118,2007JJ00,0
337,A045118,2008JJ00,0
338,A045118,2009JJ00,0
339,A045118,2010JJ00,0
340,A045118,2011JJ00,0
341,A045118,2012JJ00,0
342,A045118,2013JJ00,0
343,A045118,2014JJ00,0
344,A045118,2015JJ00,0
345,A045118,2016JJ00,0
346,A045118,2017JJ00,0
347,A045118,2018JJ00,0
348,A045118,2019JJ00,0
349,A045118,2020JJ00,0
350,A045118,2021JJ00,0
351,A045115,1995JJ00,1874
352,A045115,1996JJ00,324
353,A045115,1997JJ00,0
354,A045115,1998JJ00,0
355,A045115,1999JJ00,0
356,A045115,2000JJ00,0
357,A045115,2001JJ00,0
358,A045115,2002JJ00,0
359,A045115,2003JJ00,0
360,A045115,2004JJ00,0
361,A045115,2005JJ00,0
362,A045115,2006JJ00,0
363,A045115,2007JJ00,0
364,A045115,2008JJ00,0
365,A045115,2009JJ00,0
366,A045115,2010JJ00,0
367,A045115,2011JJ00,0
368,A045115,2012JJ00,0
369,A045115,2013JJ00,0
370,A045115,2014JJ00,0
371,A045115,2015JJ00,0
372,A045115,2016JJ00,0
373,A045115,2017JJ00,0
374,A045115,2018JJ00,0
375,A045115,2019JJ00,0
376,A045115,2020JJ00,0
377,A045115,2021JJ00,0
378,A045114,1995JJ00,0
379,A045114,1996JJ00,0
380,A045114,1997JJ00,0
381,A045114,1998JJ00,0
382,A045114,1999JJ00,0
383,A045114,2000JJ00,0
384,A045114,2001JJ00,0
385,A045114,2002JJ00,859
386,A045114,2003JJ00,926
387,A045114,2004JJ00,808
388,A045114,2005JJ00,902
389,A045114,2006JJ00,1202
390,A045114,2007JJ00,1177
391,A045114,2008JJ00,1063
392,A045114,2009JJ00,1267
393,A045114,2010JJ00,1498
394,A045114,2011JJ00,1556
395,A045114,2012JJ00,1635
396,A045114,2013JJ00,1581
397,A045114,2014JJ00,1545
398,A045114,2015JJ00,1494
399,A045114,2016JJ00,1525
400,A045114,2017JJ00,1582
401,A045114,2018JJ00,1643
402,A045114,2019JJ00,1746
403,A045114,2020JJ00,1966
404,A045114,2021JJ00,1978
405,A045119,1995JJ00,0
406,A045119,1996JJ00,0
407,A045119,1997JJ00,0
408,A045119,1998JJ00,0
409,A045119,1999JJ00,0
410,A045119,2000JJ00,0
411,A045119,2001JJ00,0
412,A045119,2002JJ00,0
413,A045119,2003JJ00,0
414,A045119,2004JJ00,0
415,A045119,2005JJ00,0
416,A045119,2006JJ00,25514
417,A045119,2007JJ00,26098
418,A045119,2008JJ00,29916
419,A045119,2009JJ00,32609
420,A045119,2010JJ00,33804
421,A045119,2011JJ00,34211
422,A045119,2012JJ00,34061
423,A045119,2013JJ00,35343
424,A045119,2014JJ00,35355
425,A045119,2015JJ00,38588
426,A045119,2016JJ00,39413
427,A045119,2017JJ00,40677
428,A045119,2018JJ00,42313
429,A045119,2019JJ00,43980
430,A045119,2020JJ00,43048
431,A045119,2021JJ00,46679
432,A045122,1995JJ00,15619
433,A045122,1996JJ00,15460
434,A045122,1997JJ00,14077
435,A045122,1998JJ00,15386
436,A045122,1999JJ00,15392
437,A045122,2000JJ00,15923
438,A045122,2001JJ00,16533
439,A045122,2002JJ00,17136
440,A045122,2003JJ00,17865
441,A045122,2004JJ00,18128
442,A045122,2005JJ00,19165
443,A045122,2006JJ00,22556
444,A045122,2007JJ00,25666
445,A045122,2008JJ00,28475
446,A045122,2009JJ00,30835
447,A045122,2010JJ00,32372
448,A045122,2011JJ00,33656
449,A045122,2012JJ00,33437
450,A045122,2013JJ00,33999
451,A045122,2014JJ00,33608
452,A045122,2015JJ00,37838
453,A045122,2016JJ00,39157
454,A045122,2017JJ00,40026
455,A045122,2018JJ00,41419
456,A045122,2019JJ00,43422
457,A045122,2020JJ00,45165
458,A045122,2021JJ00,48289
459,A045130,1995JJ00,0
460,A045130,1996JJ00,0
461,A045130,1997JJ00,0
462,A045130,1998JJ00,0
463,A045130,1999JJ00,0
464,A045130,2000JJ00,0
465,A045130,2001JJ00,0
466,A045130,2002JJ00,0
467,A045130,2003JJ00,0
468,A045130,2004JJ00,0
469,A045130,2005JJ00,0
470,A045130,2006JJ00,0
471,A045130,2007JJ00,0
472,A045130,2008JJ00,0
473,A045130,2009JJ00,0
474,A045130,2010JJ00,202
475,A045130,2011JJ00,212
476,A045130,2012JJ00,200
477,A045130,2013JJ00,195
478,A045130,2014JJ00,216
479,A045130,2015JJ00,234
480,A045130,2016JJ00,239
481,A045130,2017JJ00,268
482,A045130,2018JJ00,296
483,A045130,2019JJ00,308
