"ID","RegioS","Perioden","GrijzeDruk_24"
"8119","GM0517","2023JJ00",
"8148","GM0518","2023JJ00","23.7"
"8177","GM0787","2023JJ00",
"8206","GM0519","2023JJ00",
"8235","GM0240","2023JJ00",
"8264","GM0241","2023JJ00",
"8293","GM0014","2023JJ00","23.1"
"8322","GM0015","2023JJ00",
"8351","GM0912","2023JJ00",
"8380","GM0913","2023JJ00",
"8409","GM1729","2023JJ00","56.3"
"8438","GM0158","2023JJ00","46.8"
"8467","GM0788","2023JJ00",
"8496","GM0392","2023JJ00","28.6"
"8525","GM0393","2023JJ00",
"8554","GM0394","2023JJ00","29.6"
"8583","GM0914","2023JJ00",
"8612","GM1655","2023JJ00","43"
"8641","GM0789","2023JJ00",
"8670","GM0159","2023JJ00",
"8699","GM0160","2023JJ00","34.7"
"8728","GM0243","2023JJ00","34.1"
"8757","GM0523","2023JJ00","34.2"
"8786","GM0017","2023JJ00",
"8815","GM0395","2023JJ00",
"8844","GM0072","2023JJ00","49.8"
"8873","GM0318","2023JJ00",
"8902","GM0161","2023JJ00",
"8931","GM0244","2023JJ00","43.2"
"8960","GM0117","2023JJ00",
"8989","GM0245","2023JJ00",
"9018","GM1937","2023JJ00",
"9047","GM0396","2023JJ00","41.4"
"9076","GM0397","2023JJ00","55.9"
"9105","GM0246","2023JJ00","45.1"
"9134","GM0074","2023JJ00","40.9"
"9163","GM0247","2023JJ00",
"9192","GM0398","2023JJ00",
"9221","GM0526","2023JJ00",
"9250","GM0917","2023JJ00","41.4"
"9279","GM0791","2023JJ00",
"9308","GM0793","2023JJ00",
"9337","GM1658","2023JJ00","47"
"9366","GM0399","2023JJ00","51.8"
"9395","GM0162","2023JJ00",
"9424","GM0918","2023JJ00",
"9453","GM0400","2023JJ00","42.7"
"9482","GM0163","2023JJ00","42.5"
"9511","GM0530","2023JJ00",
"9540","GM0794","2023JJ00","29.7"
"9569","GM0795","2023JJ00",
"9598","GM0531","2023JJ00","30.9"
"9627","GM0248","2023JJ00",
"9656","GM0164","2023JJ00","35.1"
"9685","GM0796","2023JJ00","31.3"
"9714","GM0251","2023JJ00",
"9743","GM0252","2023JJ00","46.6"
"9772","GM0797","2023JJ00","38.1"
"9801","GM0920","2023JJ00",
"9830","GM0534","2023JJ00","36.3"
"9859","GM0798","2023JJ00","42.7"
"9888","GM0402","2023JJ00","31.9"
"9917","GM1963","2023JJ00","42"
"9946","GM0253","2023JJ00",
"9975","GM0799","2023JJ00",
"10004","GM1735","2023JJ00","48"
"10033","GM1966","2023JJ00","46.6"
"10062","GM1911","2023JJ00","38.1"
"10091","GM0165","2023JJ00",
"10120","GM0675","2023JJ00",
"10149","GM0801","2023JJ00",
"10178","GM0802","2023JJ00",
"10207","GM0800","2023JJ00",
"10236","GM0118","2023JJ00","40.6"
"10265","GM0018","2023JJ00",
"10294","GM0405","2023JJ00","35.4"
"10323","GM0923","2023JJ00",
"10352","GM1507","2023JJ00","39.9"
