"ID";"RegioS";"Perioden";"GrijzeDruk_24"
"14003";"GM0266";"2020JJ00";
"14032";"GM0304";"2020JJ00";
"14061";"GM0412";"2020JJ00";
"14090";"GM0356";"2020JJ00";"34.5"
"14119";"GM0567";"2020JJ00";
"14148";"GM0817";"2020JJ00";
"14177";"GM0569";"2020JJ00";"35.8"
"14206";"GM0571";"2020JJ00";
"14235";"GM0170";"2020JJ00";
"14264";"GM0818";"2020JJ00";
"14293";"GM0104";"2020JJ00";
"14322";"GM0121";"2020JJ00";
"14351";"GM0267";"2020JJ00";"33.7"
"14380";"GM0268";"2020JJ00";"24.8"
"14409";"GM1930";"2020JJ00";"34"
"14438";"GM1970";"2020JJ00";"38.2"
"14467";"GM1695";"2020JJ00";"51.3"
"14496";"GM1699";"2020JJ00";"51.8"
"14525";"GM0529";"2020JJ00";
"14554";"GM0171";"2020JJ00";"31.3"
"14583";"GM0575";"2020JJ00";"38.2"
"14612";"GM0576";"2020JJ00";
"14641";"GM0577";"2020JJ00";
"14670";"GM0120";"2020JJ00";
"14699";"GM0820";"2020JJ00";"48.8"
"14728";"GM0302";"2020JJ00";"37.5"
"14757";"GM0951";"2020JJ00";
"14786";"GM0429";"2020JJ00";
"14815";"GM0122";"2020JJ00";
"14844";"GM0579";"2020JJ00";"37.1"
"14873";"GM0823";"2020JJ00";"37.4"
"14902";"GM0824";"2020JJ00";"44.4"
"14931";"GM1895";"2020JJ00";"44.6"
"14960";"GM0269";"2020JJ00";"34"
"14989";"GM0173";"2020JJ00";"42.8"
"15018";"GM0174";"2020JJ00";
"15047";"GM1773";"2020JJ00";"38.2"
"15076";"GM0175";"2020JJ00";"41.4"
"15105";"GM0881";"2020JJ00";
"15134";"GM1586";"2020JJ00";"39.8"
"15163";"GM0825";"2020JJ00";
"15192";"GM0692";"2020JJ00";
"15221";"GM0123";"2020JJ00";
"15250";"GM0826";"2020JJ00";"39.7"
"15279";"GM0580";"2020JJ00";
"15308";"GM0085";"2020JJ00";"43.5"
"15337";"GM0431";"2020JJ00";"36"
"15366";"GM0176";"2020JJ00";
"15395";"GM0432";"2020JJ00";"37.3"
"15424";"GM0086";"2020JJ00";"38.9"
"15453";"GM0828";"2020JJ00";"34.1"
"15482";"GM0829";"2020JJ00";
"15511";"GM0831";"2020JJ00";
"15540";"GM0584";"2020JJ00";
"15569";"GM1509";"2020JJ00";"42.8"
"15598";"GM0830";"2020JJ00";
"15627";"GM0437";"2020JJ00";"37"
"15656";"GM0644";"2020JJ00";
"15685";"GM0589";"2020JJ00";"37.2"
"15714";"GM1734";"2020JJ00";"34.5"
"15743";"GM0590";"2020JJ00";"40.3"
"15772";"GM1894";"2020JJ00";"39"
"15801";"GM0124";"2020JJ00";
"15830";"GM0765";"2020JJ00";"40.2"
"15859";"GM0594";"2020JJ00";
"15888";"GM1926";"2020JJ00";"25.7"
"15917";"GM0832";"2020JJ00";
"15946";"GM0439";"2020JJ00";"33.9"
"15975";"GM0833";"2020JJ00";
"16004";"GM0273";"2020JJ00";"38.2"
"16033";"GM0177";"2020JJ00";"39.6"
"16062";"GM0834";"2020JJ00";
"16091";"GM0835";"2020JJ00";
"16120";"GM0595";"2020JJ00";
"16149";"GM1661";"2020JJ00";
"16178";"GM0703";"2020JJ00";"31.1"
"16207";"GM0274";"2020JJ00";"54.2"
"16236";"GM0339";"2020JJ00";"26.3"
"16265";"GM0836";"2020JJ00";
"16294";"GM1667";"2020JJ00";"35.1"
"16323";"GM0275";"2020JJ00";"48.1"
"16352";"GM0340";"2020JJ00";"39.2"
"16381";"GM0597";"2020JJ00";"45.1"
"16410";"GM0837";"2020JJ00";
"16439";"GM0602";"2020JJ00";
"16468";"GM0196";"2020JJ00";
"16497";"GM1672";"2020JJ00";
"16526";"GM0841";"2020JJ00";
"16555";"GM0178";"2020JJ00";
"16584";"GM1742";"2020JJ00";"34.9"
"16613";"GM0603";"2020JJ00";"38.1"
"16642";"GM0125";"2020JJ00";
"16671";"GM1669";"2020JJ00";"48.6"
"16700";"GM0957";"2020JJ00";"36.3"
"16729";"GM1670";"2020JJ00";
"16758";"GM0126";"2020JJ00";
"16787";"GM0736";"2020JJ00";"36.5"
"16816";"GM1674";"2020JJ00";"37.4"
"16845";"GM0838";"2020JJ00";
"16874";"GM0839";"2020JJ00";
"16903";"GM0276";"2020JJ00";
"16932";"GM0599";"2020JJ00";"24.3"
"16961";"GM0600";"2020JJ00";
"16990";"GM0277";"2020JJ00";"51.9"
"17019";"GM0840";"2020JJ00";"37.7"
"17048";"GM0127";"2020JJ00";
"17077";"GM0128";"2020JJ00";
"17106";"GM0278";"2020JJ00";
"17135";"GM0704";"2020JJ00";
"17164";"GM0604";"2020JJ00";
"17193";"GM0441";"2020JJ00";"45"
"17222";"GM0039";"2020JJ00";
"17251";"GM0458";"2020JJ00";
"17280";"GM0279";"2020JJ00";"35"
"17309";"GM0606";"2020JJ00";"28.3"
"17338";"GM0088";"2020JJ00";"50.6"
"17367";"GM0844";"2020JJ00";
"17396";"GM0962";"2020JJ00";
"17425";"GM0607";"2020JJ00";
"17454";"GM0129";"2020JJ00";
"17483";"GM0608";"2020JJ00";
"17512";"GM0444";"2020JJ00";
"17541";"GM1676";"2020JJ00";"51.3"
"17570";"GM0964";"2020JJ00";
"17599";"GM0965";"2020JJ00";"47.1"
"17628";"GM1702";"2020JJ00";"37.9"
"17657";"GM0845";"2020JJ00";"39"
"17686";"GM0846";"2020JJ00";
"17715";"GM0968";"2020JJ00";
"17744";"GM1883";"2020JJ00";"41.2"
"17773";"GM0051";"2020JJ00";
"17802";"GM0130";"2020JJ00";
"17831";"GM0610";"2020JJ00";"36.2"
"17860";"GM0040";"2020JJ00";
"17889";"GM1714";"2020JJ00";"53"
"17918";"GM1698";"2020JJ00";
"17947";"GM0090";"2020JJ00";"38"
"17976";"GM0131";"2020JJ00";
"18005";"GM0091";"2020JJ00";
"18034";"GM0342";"2020JJ00";"41.1"
"18063";"GM0847";"2020JJ00";"34.1"
"18092";"GM0848";"2020JJ00";"41.1"
"18121";"GM0612";"2020JJ00";
"18150";"GM0849";"2020JJ00";
"18179";"GM1691";"2020JJ00";
"18208";"GM0179";"2020JJ00";
"18237";"GM0037";"2020JJ00";"46.1"
"18266";"GM0850";"2020JJ00";
"18295";"GM0180";"2020JJ00";"28.7"
"18324";"GM0532";"2020JJ00";"39.8"
"18353";"GM0851";"2020JJ00";"36.9"
"18382";"GM0280";"2020JJ00";
"18411";"GM0181";"2020JJ00";
"18440";"GM1708";"2020JJ00";"40.3"
"18469";"GM0971";"2020JJ00";"49.5"
"18498";"GM1904";"2020JJ00";"36.3"
"18527";"GM0973";"2020JJ00";
"18556";"GM0617";"2020JJ00";
"18585";"GM1900";"2020JJ00";"41.2"
"18614";"GM0974";"2020JJ00";
"18643";"GM0975";"2020JJ00";
"18672";"GM0976";"2020JJ00";
"18701";"GM0853";"2020JJ00";
"18730";"GM0715";"2020JJ00";"45.7"
"18759";"GM0093";"2020JJ00";"40.3"
"18788";"GM0854";"2020JJ00";
"18817";"GM0448";"2020JJ00";"45.9"
"18846";"GM1525";"2020JJ00";"33.9"
"18875";"GM0716";"2020JJ00";"34.6"
"18904";"GM0977";"2020JJ00";
"18933";"GM0281";"2020JJ00";"30.3"
"18962";"GM0855";"2020JJ00";"27.2"
"18991";"GM0183";"2020JJ00";"34.2"
"19020";"GM1700";"2020JJ00";"34.1"
"19049";"GM1730";"2020JJ00";"46.3"
"19078";"GM0737";"2020JJ00";"43.5"
"19107";"GM0282";"2020JJ00";
"19136";"GM0856";"2020JJ00";"37.6"
"19165";"GM0857";"2020JJ00";
"19194";"GM0450";"2020JJ00";"30.7"
"19223";"GM0451";"2020JJ00";"31.5"
"19252";"GM0184";"2020JJ00";"18"
"19281";"GM0344";"2020JJ00";"15.4"
"19310";"GM1581";"2020JJ00";"46.4"
"19339";"GM0981";"2020JJ00";"49.7"
"19368";"GM0283";"2020JJ00";
"19397";"GM0619";"2020JJ00";
"19426";"GM0994";"2020JJ00";"53.3"
"19455";"GM0720";"2020JJ00";
"19484";"GM0858";"2020JJ00";"45.6"
"19513";"GM0047";"2020JJ00";"40.6"
"19542";"GM0345";"2020JJ00";"32"
"19571";"GM0717";"2020JJ00";"51.8"
"19600";"GM0860";"2020JJ00";
"19629";"GM0861";"2020JJ00";"37.7"
"19658";"GM0453";"2020JJ00";"34.9"
"19687";"GM0454";"2020JJ00";
"19716";"GM0983";"2020JJ00";"37.6"
"19745";"GM0984";"2020JJ00";"37.1"
"19774";"GM0862";"2020JJ00";
"19803";"GM0620";"2020JJ00";
"19832";"GM0863";"2020JJ00";
"19861";"GM1961";"2020JJ00";"35.7"
"19890";"GM0622";"2020JJ00";"36.9"
"19919";"GM0048";"2020JJ00";
"19948";"GM0132";"2020JJ00";
"19977";"GM0347";"2020JJ00";
"20006";"GM0096";"2020JJ00";"28.7"
"20035";"GM0864";"2020JJ00";
"20064";"GM0718";"2020JJ00";"42.3"
"20093";"GM0623";"2020JJ00";
"20122";"GM0986";"2020JJ00";"50.1"
"20151";"GM0624";"2020JJ00";
"20180";"GM0625";"2020JJ00";
"20209";"GM1992";"2020JJ00";
"20238";"GM0626";"2020JJ00";"44.1"
"20267";"GM0285";"2020JJ00";"44"
"20296";"GM0286";"2020JJ00";
"20325";"GM0133";"2020JJ00";
"20354";"GM0186";"2020JJ00";
"20383";"GM0865";"2020JJ00";"37.9"
"20412";"GM1949";"2020JJ00";"39.6"
"20441";"GM0866";"2020JJ00";"44.9"
"20470";"GM0867";"2020JJ00";"37"
"20499";"GM0627";"2020JJ00";"34.7"
"20528";"GM0289";"2020JJ00";"24.7"
"20557";"GM0628";"2020JJ00";
