"ID";"RegioS";"Perioden";"BbpVolumemutaties_3"
"357";"PV27    ";"2001JJ00";"0.4"
"358";"PV27    ";"2002JJ00";"3.4"
"359";"PV27    ";"2003JJ00";"-0.4"
"360";"PV27    ";"2004JJ00";"2.7"
"361";"PV27    ";"2005JJ00";"1.9"
"362";"PV27    ";"2006JJ00";"3.7"
"363";"PV27    ";"2007JJ00";"3.5"
"364";"PV27    ";"2008JJ00";"2.2"
"365";"PV27    ";"2009JJ00";"-4.6"
"366";"PV27    ";"2010JJ00";"2.1"
"367";"PV27    ";"2011JJ00";"1.6"
"368";"PV27    ";"2012JJ00";"-1"
"369";"PV27    ";"2013JJ00";"1.2"
"370";"PV27    ";"2014JJ00";"3.3"
"371";"PV27    ";"2015JJ00";"3.3"
"372";"PV27    ";"2016JJ00";"3.6"
"373";"PV27    ";"2017JJ00";"3.7"
"374";"PV27    ";"2018JJ00";"4.2"
"375";"PV27    ";"2019JJ00";"3.6"
"376";"PV27    ";"2020JJ00";"-7.5"
"377";"PV27    ";"2021JJ00";"6.2"
"378";"PV28    ";"1995JJ00";
"379";"PV28    ";"1996JJ00";"3"
"380";"PV28    ";"1997JJ00";"4"
"381";"PV28    ";"1998JJ00";"4.7"
"382";"PV28    ";"1999JJ00";"4.4"
"383";"PV28    ";"2000JJ00";"4.5"
"384";"PV28    ";"2001JJ00";"2.4"
"385";"PV28    ";"2002JJ00";"-1"
"386";"PV28    ";"2003JJ00";"0.9"
"387";"PV28    ";"2004JJ00";"1.7"
"388";"PV28    ";"2005JJ00";"3.1"
"389";"PV28    ";"2006JJ00";"3.2"
"390";"PV28    ";"2007JJ00";"4.4"
"391";"PV28    ";"2008JJ00";"1.9"
"392";"PV28    ";"2009JJ00";"-4.7"
"393";"PV28    ";"2010JJ00";"0.9"
"394";"PV28    ";"2011JJ00";"-0.2"
"395";"PV28    ";"2012JJ00";"0.2"
"396";"PV28    ";"2013JJ00";"-1.2"
"397";"PV28    ";"2014JJ00";"0.2"
"398";"PV28    ";"2015JJ00";"2.6"
"399";"PV28    ";"2016JJ00";"1.2"
"400";"PV28    ";"2017JJ00";"1.6"
"401";"PV28    ";"2018JJ00";"1.5"
"402";"PV28    ";"2019JJ00";"0.8"
"403";"PV28    ";"2020JJ00";"-2.7"
