"ID";"RegioS";"Jaar";"Grijze Druk"
"325";"PV26  ";"2001JJ00";"19.8"
"326";"PV26  ";"2002JJ00";"19.8"
"327";"PV26  ";"2003JJ00";"19.8"
"328";"PV26  ";"2004JJ00";"20"
"329";"PV26  ";"2005JJ00";"20.2"
"330";"PV26  ";"2006JJ00";"20.5"
"331";"PV26  ";"2007JJ00";"20.7"
"332";"PV26  ";"2008JJ00";"21"
"333";"PV26  ";"2009JJ00";"21.3"
"334";"PV26  ";"2010JJ00";"21.8"
"335";"PV26  ";"2011JJ00";"22.1"
"336";"PV26  ";"2012JJ00";"23.3"
"337";"PV26  ";"2013JJ00";"24.3"
"338";"PV26  ";"2014JJ00";"25.1"
"339";"PV26  ";"2015JJ00";"25.8"
"340";"PV26  ";"2016JJ00";"26.4"
"341";"PV26  ";"2017JJ00";"26.9"
"342";"PV26  ";"2018JJ00";"27.5"
"343";"PV26  ";"2019JJ00";"28.2"
"344";"PV26  ";"2020JJ00";"28.7"
"345";"PV26  ";"2021JJ00";"29.1"
"346";"PV26  ";"2022JJ00";"29.6"
"347";"PV26  ";"2023JJ00";"29.9"
"348";"PV27  ";"1995JJ00";"21.1"
"349";"PV27  ";"1996JJ00";"21.2"
"350";"PV27  ";"1997JJ00";"21.3"
"351";"PV27  ";"1998JJ00";"21.3"
"352";"PV27  ";"1999JJ00";"21.2"
"353";"PV27  ";"2000JJ00";"21.2"
"354";"PV27  ";"2001JJ00";"21.2"
"355";"PV27  ";"2002JJ00";"21.2"
"356";"PV27  ";"2003JJ00";"21.2"
"357";"PV27  ";"2004JJ00";"21.4"
"358";"PV27  ";"2005JJ00";"21.6"
"359";"PV27  ";"2006JJ00";"22"
"360";"PV27  ";"2007JJ00";"22.3"
"361";"PV27  ";"2008JJ00";"22.5"
"362";"PV27  ";"2009JJ00";"22.9"
"363";"PV27  ";"2010JJ00";"23.4"
"364";"PV27  ";"2011JJ00";"23.6"
"365";"PV27  ";"2012JJ00";"24.8"
"366";"PV27  ";"2013JJ00";"25.9"
"367";"PV27  ";"2014JJ00";"26.7"
"368";"PV27  ";"2015JJ00";"27.4"
"369";"PV27  ";"2016JJ00";"28"
"370";"PV27  ";"2017JJ00";"28.4"
"371";"PV27  ";"2018JJ00";"29"
"372";"PV27  ";"2019JJ00";"29.4"
"373";"PV27  ";"2020JJ00";"29.8"
"374";"PV27  ";"2021JJ00";"30.2"
"375";"PV27  ";"2022JJ00";"30.6"
"376";"PV27  ";"2023JJ00";"30.7"
"377";"PV28  ";"1995JJ00";"22.2"
"378";"PV28  ";"1996JJ00";"22.3"
"379";"PV28  ";"1997JJ00";"22.4"
"380";"PV28  ";"1998JJ00";"22.4"
"381";"PV28  ";"1999JJ00";"22.4"
"382";"PV28  ";"2000JJ00";"22.4"
"383";"PV28  ";"2001JJ00";"22.3"
"384";"PV28  ";"2002JJ00";"22.3"
"385";"PV28  ";"2003JJ00";"22.3"
"386";"PV28  ";"2004JJ00";"22.4"
"387";"PV28  ";"2005JJ00";"22.6"
"388";"PV28  ";"2006JJ00";"22.9"
"389";"PV28  ";"2007JJ00";"23.2"
"390";"PV28  ";"2008JJ00";"23.4"
"391";"PV28  ";"2009JJ00";"23.7"
"392";"PV28  ";"2010JJ00";"24.1"
"393";"PV28  ";"2011JJ00";"24.3"
"394";"PV28  ";"2012JJ00";"25.5"
"395";"PV28  ";"2013JJ00";"26.6"
"396";"PV28  ";"2014JJ00";"27.5"
"397";"PV28  ";"2015JJ00";"28.2"
"398";"PV28  ";"2016JJ00";"28.8"
"399";"PV28  ";"2017JJ00";"29.3"
"400";"PV28  ";"2018JJ00";"29.8"
"401";"PV28  ";"2019JJ00";"30.2"
"402";"PV28  ";"2020JJ00";"30.6"
"403";"PV28  ";"2021JJ00";"31"
"404";"PV28  ";"2022JJ00";"31.3"
"405";"PV28  ";"2023JJ00";"31.5"
"406";"PV29  ";"1995JJ00";"26.9"
"407";"PV29  ";"1996JJ00";"27.1"
"408";"PV29  ";"1997JJ00";"27.2"
"409";"PV29  ";"1998JJ00";"27.4"
"410";"PV29  ";"1999JJ00";"27.5"
"411";"PV29  ";"2000JJ00";"27.6"
"412";"PV29  ";"2001JJ00";"27.6"
"413";"PV29  ";"2002JJ00";"27.7"
"414";"PV29  ";"2003JJ00";"27.8"
"415";"PV29  ";"2004JJ00";"28.1"
"416";"PV29  ";"2005JJ00";"28.5"
"417";"PV29  ";"2006JJ00";"29"
"418";"PV29  ";"2007JJ00";"29.4"
"419";"PV29  ";"2008JJ00";"30"
"420";"PV29  ";"2009JJ00";"30.8"
"421";"PV29  ";"2010JJ00";"31.8"
"422";"PV29  ";"2011JJ00";"32.7"
"423";"PV29  ";"2012JJ00";"34.4"
"424";"PV29  ";"2013JJ00";"36.1"
"425";"PV29  ";"2014JJ00";"37.4"
"426";"PV29  ";"2015JJ00";"38.7"
"427";"PV29  ";"2016JJ00";"39.5"
"428";"PV29  ";"2017JJ00";"40.4"
"429";"PV29  ";"2018JJ00";"41.3"
"430";"PV29  ";"2019JJ00";"42.2"
"431";"PV29  ";"2020JJ00";"43.2"
"432";"PV29  ";"2021JJ00";"43.9"
"433";"PV29  ";"2022JJ00";"44.3"
"434";"PV29  ";"2023JJ00";"44.7"
"435";"PV30  ";"1995JJ00";"18.5"
"436";"PV30  ";"1996JJ00";"18.8"
"437";"PV30  ";"1997JJ00";"19.2"
"438";"PV30  ";"1998JJ00";"19.7"
"439";"PV30  ";"1999JJ00";"20"
